QuarterEnd,PAMEL_Close_QuarterEnd
2016-03-31,0.87
2016-06-30,1.02
2016-09-30,1.42
2016-12-31,2.22
2017-03-31,1.37
2017-06-30,1.15
2017-09-30,1.11
2017-12-31,1.08
2018-03-31,0.93
2018-06-30,0.73
2018-09-30,0.61
2018-12-31,0.48
2019-03-31,0.8
2019-06-30,0.83
2019-09-30,2.27
2019-12-31,1.28
2020-03-31,1.1
2020-06-30,4.89
2020-09-30,9.06
2020-12-31,21.32
2021-03-31,30.7
2021-06-30,35.98
2021-09-30,48.76
2021-12-31,83.0
2022-03-31,93.55
2022-06-30,134.6
2022-09-30,116.3
2022-12-31,249.3
2023-03-31,232.0
2023-06-30,133.2
2023-09-30,169.1
2023-12-31,104.0
2024-03-31,134.0
2024-06-30,122.3
2024-09-30,99.5
2024-12-31,97.65
2025-03-31,83.1
2025-06-30,82.45
2025-09-30,92.8
2025-12-31,82.05
