QuarterEnd,PARSN_Close_QuarterEnd
2016-03-31,7.15
2016-06-30,9.35
2016-09-30,7.81
2016-12-31,8.34
2017-03-31,8.27
2017-06-30,10.85
2017-09-30,9.83
2017-12-31,11.7
2018-03-31,15.85
2018-06-30,14.6
2018-09-30,19.03
2018-12-31,8.76
2019-03-31,9.0
2019-06-30,14.86
2019-09-30,12.74
2019-12-31,16.94
2020-03-31,11.7
2020-06-30,19.2
2020-09-30,22.26
2020-12-31,24.3
2021-03-31,33.16
2021-06-30,28.3
2021-09-30,26.3
2021-12-31,31.68
2022-03-31,31.06
2022-06-30,33.56
2022-09-30,49.16
2022-12-31,77.7
2023-03-31,50.65
2023-06-30,86.95
2023-09-30,131.8
2023-12-31,91.1
2024-03-31,101.7
2024-06-30,114.8
2024-09-30,88.0
2024-12-31,87.1
2025-03-31,81.5
2025-06-30,81.0
2025-09-30,97.85
2025-12-31,104.0
