QuarterEnd,PEKGY_Close_QuarterEnd
2018-03-31,0.1195
2018-06-30,0.1411
2018-09-30,0.2408
2018-12-31,0.4309
2019-03-31,0.1975
2019-06-30,0.2185
2019-09-30,0.1629
2019-12-31,0.164
2020-03-31,0.1415
2020-06-30,0.4191
2020-09-30,0.4588
2020-12-31,0.4733
2021-03-31,0.3627
2021-06-30,0.2092
2021-09-30,0.1988
2021-12-31,0.1904
2022-03-31,0.205
2022-06-30,0.2385
2022-09-30,0.4812
2022-12-31,0.7574
2023-03-31,0.8934
2023-06-30,2.1551
2023-09-30,5.5906
2023-12-31,6.8585
2024-03-31,2.8936
2024-06-30,1.632
2024-09-30,0.9687
2024-12-31,1.1635
2025-03-31,1.1713
2025-06-30,1.5384
2025-09-30,8.95
2025-12-31,12.6
