QuarterEnd,PENGD_Close_QuarterEnd
2016-03-31,0.9551
2016-06-30,0.8136
2016-09-30,0.734
2016-12-31,0.8534
2017-03-31,0.8092
2017-06-30,0.8623
2017-09-30,1.2735
2017-12-31,0.9861
2018-03-31,0.9065
2018-06-30,0.6766
2018-09-30,0.6058
2018-12-31,0.4776
2019-03-31,0.8844
2019-06-30,0.6766
2019-09-30,0.7296
2019-12-31,0.9153
2020-03-31,1.6317
2020-06-30,1.9324
2020-09-30,4.76
2020-12-31,5.05
2021-03-31,4.06
2021-06-30,3.03
2021-09-30,3.15
2021-12-31,3.53
2022-03-31,3.62
2022-06-30,5.19
2022-09-30,6.99
2022-12-31,9.16
2023-03-31,5.64
2023-06-30,5.71
2023-09-30,9.3
2023-12-31,5.76
2024-03-31,6.61
2024-06-30,7.64
2024-09-30,6.51
2024-12-31,6.68
2025-03-31,7.22
2025-06-30,8.96
2025-09-30,9.33
2025-12-31,7.59
