QuarterEnd,PETKM_Close_QuarterEnd
2016-03-31,1.8937
2016-06-30,1.9822
2016-09-30,2.3487
2016-12-31,1.9099
2017-03-31,2.6171
2017-06-30,3.3984
2017-09-30,3.3536
2017-12-31,4.3574
2018-03-31,4.5649
2018-06-30,2.8646
2018-09-30,3.4831
2018-12-31,3.2812
2019-03-31,2.9557
2019-06-30,3.3833
2019-09-30,3.0083
2019-12-31,3.175
2020-03-31,2.525
2020-06-30,3.5583
2020-09-30,3.5
2020-12-31,4.98
2021-03-31,5.75
2021-06-30,5.23
2021-09-30,6.53
2021-12-31,7.8
2022-03-31,9.03
2022-06-30,8.82
2022-09-30,12.4
2022-12-31,19.96
2023-03-31,13.86
2023-06-30,15.01
2023-09-30,19.64
2023-12-31,18.21
2024-03-31,19.83
2024-06-30,21.74
2024-09-30,22.66
2024-12-31,18.1
2025-03-31,17.07
2025-06-30,17.21
2025-09-30,18.09
2025-12-31,16.23
