QuarterEnd,PGSUS_Close_QuarterEnd
2016-03-31,3.5171
2016-06-30,2.7764
2016-09-30,2.4491
2016-12-31,2.8951
2017-03-31,2.938
2017-06-30,3.8403
2017-09-30,5.0986
2017-12-31,6.9155
2018-03-31,7.296
2018-06-30,5.0372
2018-09-30,5.5406
2018-12-31,4.6894
2019-03-31,5.5651
2019-06-30,9.3297
2019-09-30,12.4192
2019-12-31,17.6774
2020-03-31,6.9973
2020-06-30,11.3655
2020-09-30,9.4525
2020-12-31,15.2631
2021-03-31,14.7516
2021-06-30,14.7414
2021-09-30,15.9281
2021-12-31,17.3807
2022-03-31,22.0354
2022-06-30,34.9865
2022-09-30,48.7356
2022-12-31,98.2077
2023-03-31,92.6835
2023-06-30,126.2378
2023-09-30,168.6308
2023-12-31,132.8873
2024-03-31,166.3393
2024-06-30,227.9
2024-09-30,239.3
2024-12-31,213.0
2025-03-31,257.75
2025-06-30,257.0
2025-09-30,216.5
2025-12-31,191.7
