QuarterEnd,PKART_Close_QuarterEnd
2016-03-31,2.6179
2016-06-30,2.3982
2016-09-30,2.2644
2016-12-31,2.6275
2017-03-31,2.4173
2017-06-30,2.9332
2017-09-30,2.5797
2017-12-31,2.7612
2018-03-31,2.7708
2018-06-30,2.1975
2018-09-30,2.1497
2018-12-31,2.5797
2019-03-31,2.6848
2019-06-30,2.7803
2019-09-30,3.6785
2019-12-31,8.857
2020-03-31,8.2646
2020-06-30,12.6692
2020-09-30,11.6182
2020-12-31,13.8062
2021-03-31,14.4559
2021-06-30,14.1788
2021-09-30,21.4784
2021-12-31,19.0069
2022-03-31,15.0815
2022-06-30,16.0992
2022-09-30,19.385
2022-12-31,30.44
2023-03-31,23.08
2023-06-30,23.08
2023-09-30,36.78
2023-12-31,32.1
2024-03-31,79.3
2024-06-30,96.15
2024-09-30,67.3
2024-12-31,74.0
2025-03-31,60.0
2025-06-30,63.4
2025-09-30,82.1
2025-12-31,73.35
