QuarterEnd,PKENT_Close_QuarterEnd
2016-03-31,2.125
2016-06-30,2.0383
2016-09-30,1.875
2016-12-31,1.8333
2017-03-31,1.9583
2017-06-30,2.05
2017-09-30,2.0392
2017-12-31,1.9783
2018-03-31,2.4167
2018-06-30,2.0408
2018-09-30,2.0125
2018-12-31,2.8625
2019-03-31,2.7083
2019-06-30,3.1229
2019-09-30,3.4375
2019-12-31,5.3375
2020-03-31,4.4083
2020-06-30,6.8333
2020-09-30,33.0
2020-12-31,37.7667
2021-03-31,115.9167
2021-06-30,107.7458
2021-09-30,118.3292
2021-12-31,302.675
2022-03-31,223.2
2022-06-30,140.4
2022-09-30,129.4
2022-12-31,159.0
2023-03-31,113.1
2023-06-30,119.1
2023-09-30,161.5
2023-12-31,217.4
2024-03-31,338.25
2024-06-30,285.0
2024-09-30,219.0
2024-12-31,259.75
2025-03-31,203.0
2025-06-30,223.0
2025-09-30,225.0
2025-12-31,190.0
