QuarterEnd,POLHO_Close_QuarterEnd
2016-03-31,0.7573
2016-06-30,1.3002
2016-09-30,1.5277
2016-12-31,2.2746
2017-03-31,3.1063
2017-06-30,2.5702
2017-09-30,2.6658
2017-12-31,2.9764
2018-03-31,2.2528
2018-06-30,2.1083
2018-09-30,2.532
2018-12-31,2.1531
2019-03-31,2.2458
2019-06-30,1.5854
2019-09-30,2.0068
2019-12-31,2.1639
2020-03-31,1.4069
2020-06-30,2.2876
2020-09-30,2.2517
2020-12-31,2.768
2021-03-31,2.2732
2021-06-30,1.9151
2021-09-30,1.9007
2021-12-31,2.0951
2022-03-31,2.1527
2022-06-30,3.2961
2022-09-30,5.0709
2022-12-31,10.026
2023-03-31,7.8962
2023-06-30,7.5501
2023-09-30,12.701
2023-12-31,10.5867
2024-03-31,11.4864
2024-06-30,10.4016
2024-09-30,8.7979
2024-12-31,9.161
2025-03-31,10.9614
2025-06-30,14.6071
2025-09-30,23.14
2025-12-31,16.11
