QuarterEnd,PRKAB_Close_QuarterEnd
2016-03-31,1.9377
2016-06-30,2.1007
2016-09-30,1.7471
2016-12-31,1.5137
2017-03-31,1.6481
2017-06-30,1.7253
2017-09-30,2.1257
2017-12-31,1.9046
2018-03-31,1.6872
2018-06-30,1.4152
2018-09-30,1.4076
2018-12-31,1.3392
2019-03-31,1.5218
2019-06-30,1.3666
2019-09-30,1.7704
2019-12-31,2.56
2020-03-31,3.1508
2020-06-30,5.179
2020-09-30,9.9702
2020-12-31,12.004
2021-03-31,11.3988
2021-06-30,11.7428
2021-09-30,16.221
2021-12-31,62.5952
2022-03-31,39.2091
2022-06-30,24.8349
2022-09-30,23.619
2022-12-31,36.1162
2023-03-31,26.6088
2023-06-30,26.7
2023-09-30,35.76
2023-12-31,30.14
2024-03-31,35.94
2024-06-30,36.58
2024-09-30,30.7
2024-12-31,29.54
2025-03-31,27.16
2025-06-30,27.98
2025-09-30,33.88
2025-12-31,30.66
