QuarterEnd,PRKME_Close_QuarterEnd
2016-03-31,2.2354
2016-06-30,1.8959
2016-09-30,1.7493
2016-12-31,1.8684
2017-03-31,2.4546
2017-06-30,2.6927
2017-09-30,3.8742
2017-12-31,3.8192
2018-03-31,3.7918
2018-06-30,2.6927
2018-09-30,2.592
2018-12-31,2.2073
2019-03-31,2.0882
2019-06-30,2.2897
2019-09-30,3.7643
2019-12-31,2.7935
2020-03-31,2.5736
2020-06-30,3.7643
2020-09-30,4.3321
2020-12-31,4.9183
2021-03-31,4.7809
2021-06-30,4.323
2021-09-30,4.0665
2021-12-31,5.6693
2022-03-31,5.7609
2022-06-30,5.5503
2022-09-30,11.6592
2022-12-31,23.0986
2023-03-31,14.1871
2023-06-30,16.202
2023-09-30,27.9345
2023-12-31,17.997
2024-03-31,21.0882
2024-06-30,24.2172
2024-09-30,18.19
2024-12-31,23.2
2025-03-31,18.23
2025-06-30,16.55
2025-09-30,20.52
2025-12-31,18.48
