QuarterEnd,PSDTC_Close_QuarterEnd
2016-03-31,1.6286
2016-06-30,1.5472
2016-09-30,1.9136
2016-12-31,1.5879
2017-03-31,1.5919
2017-06-30,1.7063
2017-09-30,1.7332
2017-12-31,1.9892
2018-03-31,3.6999
2018-06-30,3.2929
2018-09-30,5.547
2018-12-31,4.6484
2019-03-31,4.6744
2019-06-30,4.6504
2019-09-30,4.8863
2019-12-31,6.1041
2020-03-31,5.2593
2020-06-30,7.5811
2020-09-30,12.1329
2020-12-31,15.5487
2021-03-31,20.9052
2021-06-30,17.9898
2021-09-30,18.5813
2021-12-31,23.0335
2022-03-31,21.5549
2022-06-30,20.4338
2022-09-30,23.1808
2022-12-31,34.2041
2023-03-31,29.3482
2023-06-30,32.6075
2023-09-30,54.1976
2023-12-31,55.6304
2024-03-31,118.0787
2024-06-30,91.8939
2024-09-30,115.6084
2024-12-31,81.7658
2025-03-31,71.9835
2025-06-30,104.7392
2025-09-30,150.6862
2025-12-31,140.6
