QuarterEnd,QNBFK_Close_QuarterEnd
2016-03-31,0.2023
2016-06-30,0.2433
2016-09-30,0.2568
2016-12-31,0.2457
2017-03-31,0.2422
2017-06-30,0.2756
2017-09-30,0.251
2017-12-31,0.2287
2018-03-31,0.2498
2018-06-30,0.2433
2018-09-30,0.2211
2018-12-31,0.3987
2019-03-31,0.2826
2019-06-30,0.2486
2019-09-30,1.1727
2019-12-31,7.57
2020-03-31,6.321
2020-06-30,5.6262
2020-09-30,7.5113
2020-12-31,7.3471
2021-03-31,6.749
2021-06-30,5.0633
2021-09-30,3.9843
2021-12-31,4.7495
2022-03-31,4.3098
2022-06-30,3.7762
2022-09-30,4.6176
2022-12-31,7.3002
2023-03-31,4.7877
2023-06-30,5.6731
2023-09-30,42.9101
2023-12-31,52.5675
2024-03-31,89.2292
2024-06-30,60.6759
2024-09-30,54.3024
2024-12-31,42.48
2025-03-31,41.0
2025-06-30,33.8
2025-09-30,53.45
2025-12-31,56.3
