QuarterEnd,RAYSG_Close_QuarterEnd
2016-03-31,0.47
2016-06-30,0.46
2016-09-30,0.5
2016-12-31,0.58
2017-03-31,1.22
2017-06-30,1.16
2017-09-30,1.76
2017-12-31,1.81
2018-03-31,1.42
2018-06-30,1.15
2018-09-30,1.44
2018-12-31,1.39
2019-03-31,1.95
2019-06-30,2.22
2019-09-30,2.41
2019-12-31,3.42
2020-03-31,2.91
2020-06-30,6.03
2020-09-30,13.9
2020-12-31,15.45
2021-03-31,11.71
2021-06-30,10.16
2021-09-30,9.65
2021-12-31,13.8
2022-03-31,12.7
2022-06-30,12.05
2022-09-30,13.1
2022-12-31,21.34
2023-03-31,21.0
2023-06-30,23.16
2023-09-30,70.4
2023-12-31,237.5
2024-03-31,407.0
2024-06-30,407.25
2024-09-30,458.0
2024-12-31,530.5
2025-03-31,252.5
2025-06-30,234.8
2025-09-30,240.7
2025-12-31,216.0
