QuarterEnd,RODRG_Close_QuarterEnd
2016-03-31,0.2975
2016-06-30,0.395
2016-09-30,0.6875
2016-12-31,0.62
2017-03-31,0.7
2017-06-30,0.47
2017-09-30,0.5125
2017-12-31,0.7475
2018-03-31,0.4075
2018-06-30,0.39
2018-09-30,0.515
2018-12-31,0.475
2019-03-31,0.695
2019-06-30,0.66
2019-09-30,0.615
2019-12-31,0.4525
2020-03-31,0.345
2020-06-30,0.6775
2020-09-30,2.5625
2020-12-31,3.4275
2021-03-31,5.555
2021-06-30,4.4
2021-09-30,3.35
2021-12-31,4.73
2022-03-31,3.77
2022-06-30,4.7375
2022-09-30,10.32
2022-12-31,8.75
2023-03-31,14.5625
2023-06-30,10.15
2023-09-30,13.875
2023-12-31,13.275
2024-03-31,22.5
2024-06-30,32.25
2024-09-30,19.18
2024-12-31,19.9
2025-03-31,16.58
2025-06-30,15.88
2025-09-30,24.1
2025-12-31,21.3
