QuarterEnd,ROYAL_Close_QuarterEnd
2016-03-31,1.2894
2016-06-30,1.3886
2016-09-30,0.94
2016-12-31,0.96
2017-03-31,1.05
2017-06-30,0.91
2017-09-30,1.15
2017-12-31,0.91
2018-03-31,0.91
2018-06-30,0.83
2018-09-30,0.83
2018-12-31,0.99
2019-03-31,1.3
2019-06-30,0.84
2019-09-30,0.98
2019-12-31,1.37
2020-03-31,1.71
2020-06-30,2.24
2020-09-30,4.69
2020-12-31,3.44
2021-03-31,3.48
2021-06-30,3.31
2021-09-30,3.0
2021-12-31,3.32
2022-03-31,3.3
2022-06-30,3.1
2022-09-30,5.19
2022-12-31,6.8
2023-03-31,6.8
2023-06-30,6.8
2023-09-30,6.8
2023-12-31,6.8
2024-03-31,6.8
2024-06-30,6.8
2024-09-30,6.8
2024-12-31,6.8
2025-03-31,6.8
2025-06-30,6.8
2025-09-30,6.8
2025-12-31,6.8
