QuarterEnd,RTALB_Close_QuarterEnd
2016-03-31,0.2243
2016-06-30,0.1802
2016-09-30,0.1778
2016-12-31,0.1608
2017-03-31,0.2235
2017-06-30,0.2005
2017-09-30,0.2405
2017-12-31,0.2213
2018-03-31,0.2197
2018-06-30,0.1483
2018-09-30,0.1588
2018-12-31,0.1395
2019-03-31,0.1098
2019-06-30,0.1026
2019-09-30,0.1186
2019-12-31,0.1994
2020-03-31,0.4899
2020-06-30,3.0062
2020-09-30,4.0598
2020-12-31,2.6023
2021-03-31,2.6349
2021-06-30,1.7738
2021-09-30,1.9268
2021-12-31,1.9027
2022-03-31,1.4034
2022-06-30,1.492
2022-09-30,1.474
2022-12-31,2.598
2023-03-31,1.568
2023-06-30,1.654
2023-09-30,3.57
2023-12-31,2.868
2024-03-31,2.458
2024-06-30,2.356
2024-09-30,3.12
2024-12-31,2.902
2025-03-31,2.82
2025-06-30,2.85
2025-09-30,3.72
2025-12-31,3.43
