QuarterEnd,RUZYE_Close_QuarterEnd
2016-03-31,0.4584
2016-06-30,0.6134
2016-09-30,0.5617
2016-12-31,0.5682
2017-03-31,0.439
2017-06-30,0.4778
2017-09-30,0.82
2017-12-31,0.8006
2018-03-31,0.6292
2018-06-30,0.5154
2018-09-30,0.4752
2018-12-31,0.2945
2019-03-31,0.2945
2019-06-30,0.2343
2019-09-30,0.2945
2019-12-31,0.2744
2020-03-31,0.3748
2020-06-30,0.8902
2020-09-30,1.3521
2020-12-31,1.4659
2021-03-31,1.5127
2021-06-30,1.1111
2021-09-30,1.1914
2021-12-31,1.41
2022-03-31,1.65
2022-06-30,2.99
2022-09-30,4.19
2022-12-31,5.75
2023-03-31,4.04
2023-06-30,5.14
2023-09-30,9.23
2023-12-31,6.82
2024-03-31,7.54
2024-06-30,6.78
2024-09-30,6.07
2024-12-31,7.53
2025-03-31,7.25
2025-06-30,8.4
2025-09-30,12.08
2025-12-31,11.2
