QuarterEnd,RYGYO_Close_QuarterEnd
2016-03-31,0.0981
2016-06-30,0.0922
2016-09-30,0.0967
2016-12-31,0.0996
2017-03-31,0.116
2017-06-30,0.1502
2017-09-30,0.2141
2017-12-31,0.1889
2018-03-31,0.2171
2018-06-30,0.1651
2018-09-30,0.1115
2018-12-31,0.1026
2019-03-31,0.1294
2019-06-30,0.116
2019-09-30,0.1874
2019-12-31,0.6826
2020-03-31,0.9949
2020-06-30,0.7748
2020-09-30,0.7093
2020-12-31,0.8105
2021-03-31,0.7034
2021-06-30,0.6008
2021-09-30,0.685
2021-12-31,0.9375
2022-03-31,0.8925
2022-06-30,1.03
2022-09-30,1.23
2022-12-31,3.875
2023-03-31,2.8425
2023-06-30,3.585
2023-09-30,6.61
2023-12-31,6.565
2024-03-31,6.955
2024-06-30,13.85
2024-09-30,12.16
2024-12-31,17.0
2025-03-31,15.3
2025-06-30,19.85
2025-09-30,19.95
2025-12-31,21.0
