QuarterEnd,SAHOL_Close_QuarterEnd
2016-03-31,6.8973
2016-06-30,6.7751
2016-09-30,6.6816
2016-12-31,6.5809
2017-03-31,7.1922
2017-06-30,8.0215
2017-09-30,7.3537
2017-12-31,8.161
2018-03-31,7.706
2018-06-30,6.6715
2018-09-30,5.7648
2018-12-31,5.6817
2019-03-31,5.9235
2019-06-30,6.7481
2019-09-30,7.5179
2019-12-31,7.4944
2020-03-31,5.8839
2020-06-30,7.5932
2020-09-30,6.8372
2020-12-31,9.4176
2021-03-31,7.0673
2021-06-30,7.5932
2021-09-30,8.3619
2021-12-31,11.3002
2022-03-31,14.99
2022-06-30,16.8727
2022-09-30,23.0025
2022-12-31,40.2232
2023-03-31,35.2979
2023-06-30,42.9624
2023-09-30,55.7335
2023-12-31,56.4337
2024-03-31,77.0187
2024-06-30,93.0556
2024-09-30,93.8753
2024-12-31,92.5735
2025-03-31,81.05
2025-06-30,89.65
2025-09-30,86.8
2025-12-31,84.25
