QuarterEnd,SAMAT_Close_QuarterEnd
2016-03-31,0.207
2016-06-30,0.2281
2016-09-30,0.2234
2016-12-31,0.2375
2017-03-31,0.2799
2017-06-30,0.261
2017-09-30,0.261
2017-12-31,0.2516
2018-03-31,0.2681
2018-06-30,0.2446
2018-09-30,0.2328
2018-12-31,0.2352
2019-03-31,0.2281
2019-06-30,0.2587
2019-09-30,0.261
2019-12-31,0.421
2020-03-31,0.3786
2020-06-30,0.9964
2020-09-30,1.2699
2020-12-31,2.8557
2021-03-31,1.9081
2021-06-30,1.4555
2021-09-30,1.3318
2021-12-31,1.283
2022-03-31,2.2468
2022-06-30,2.7873
2022-09-30,3.1195
2022-12-31,6.291
2023-03-31,6.4148
2023-06-30,4.6662
2023-09-30,5.9101
2023-12-31,13.1877
2024-03-31,14.653
2024-06-30,14.0278
2024-09-30,7.6912
2024-12-31,6.3041
2025-03-31,5.5291
2025-06-30,5.858
2025-09-30,6.94
2025-12-31,5.93
