QuarterEnd,SANEL_Close_QuarterEnd
2016-03-31,1.3916
2016-06-30,1.3351
2016-09-30,1.304
2016-12-31,1.2823
2017-03-31,1.2823
2017-06-30,1.3112
2017-09-30,1.2678
2017-12-31,1.2388
2018-03-31,1.2533
2018-06-30,1.0649
2018-09-30,1.1229
2018-12-31,1.5793
2019-03-31,1.63
2019-06-30,2.5645
2019-09-30,4.1004
2019-12-31,2.934
2020-03-31,2.6877
2020-06-30,3.98
2020-09-30,3.61
2020-12-31,3.42
2021-03-31,5.17
2021-06-30,4.63
2021-09-30,4.81
2021-12-31,6.2
2022-03-31,5.69
2022-06-30,7.74
2022-09-30,9.1
2022-12-31,22.88
2023-03-31,14.13
2023-06-30,17.23
2023-09-30,19.25
2023-12-31,25.0
2024-03-31,27.9
2024-06-30,25.52
2024-09-30,24.0
2024-12-31,23.62
2025-03-31,24.2
2025-06-30,23.4
2025-09-30,31.8
2025-12-31,36.92
