QuarterEnd,SANFM_Close_QuarterEnd
2016-03-31,0.0505
2016-06-30,0.0432
2016-09-30,0.0418
2016-12-31,0.0418
2017-03-31,0.0557
2017-06-30,0.0776
2017-09-30,0.0616
2017-12-31,0.0585
2018-03-31,0.0623
2018-06-30,0.0547
2018-09-30,0.0449
2018-12-31,0.0435
2019-03-31,0.0609
2019-06-30,0.0599
2019-09-30,0.0762
2019-12-31,0.1741
2020-03-31,0.1678
2020-06-30,0.2068
2020-09-30,0.306
2020-12-31,0.4734
2021-03-31,0.5744
2021-06-30,0.6092
2021-09-30,0.7909
2021-12-31,1.0743
2022-03-31,1.1
2022-06-30,1.1738
2022-09-30,0.9603
2022-12-31,1.5979
2023-03-31,1.2862
2023-06-30,1.2578
2023-09-30,2.0046
2023-12-31,3.1119
2024-03-31,5.1864
2024-06-30,5.966
2024-09-30,11.0888
2024-12-31,14.8525
2025-03-31,17.9089
2025-06-30,6.2602
2025-09-30,7.6888
2025-12-31,7.21
