QuarterEnd,SANKO_Close_QuarterEnd
2016-03-31,0.8209
2016-06-30,0.8216
2016-09-30,0.7358
2016-12-31,0.8725
2017-03-31,1.0208
2017-06-30,1.4223
2017-09-30,1.1895
2017-12-31,1.4099
2018-03-31,1.5596
2018-06-30,1.4348
2018-09-30,1.2848
2018-12-31,1.1548
2019-03-31,1.0398
2019-06-30,1.1472
2019-09-30,1.5541
2019-12-31,4.5051
2020-03-31,3.2013
2020-06-30,4.476
2020-09-30,5.2557
2020-12-31,5.806
2021-03-31,8.3967
2021-06-30,5.989
2021-09-30,5.9639
2021-12-31,5.8073
2022-03-31,5.989
2022-06-30,6.6711
2022-09-30,8.3779
2022-12-31,16.3629
2023-03-31,18.4354
2023-06-30,15.9295
2023-09-30,26.74
2023-12-31,19.05
2024-03-31,23.16
2024-06-30,25.2
2024-09-30,22.16
2024-12-31,25.4
2025-03-31,21.0
2025-06-30,19.54
2025-09-30,23.78
2025-12-31,20.34
