QuarterEnd,SARKY_Close_QuarterEnd
2016-03-31,0.3159
2016-06-30,0.3125
2016-09-30,0.2892
2016-12-31,0.296
2017-03-31,0.3688
2017-06-30,0.4511
2017-09-30,0.4351
2017-12-31,0.5298
2018-03-31,0.5683
2018-06-30,0.5679
2018-09-30,0.6068
2018-12-31,0.5764
2019-03-31,0.5493
2019-06-30,0.6052
2019-09-30,0.6621
2019-12-31,0.8858
2020-03-31,0.8895
2020-06-30,1.2544
2020-09-30,1.8734
2020-12-31,2.4644
2021-03-31,3.744
2021-06-30,3.4625
2021-09-30,3.5277
2021-12-31,5.6103
2022-03-31,5.497
2022-06-30,5.0513
2022-09-30,6.5778
2022-12-31,12.1277
2023-03-31,11.7365
2023-06-30,13.238
2023-09-30,19.3158
2023-12-31,13.6631
2024-03-31,15.0256
2024-06-30,17.4727
2024-09-30,14.1191
2024-12-31,11.0944
2025-03-31,12.3337
2025-06-30,10.806
2025-09-30,15.01
2025-12-31,17.96
