QuarterEnd,SASA_Close_QuarterEnd
2016-03-31,0.0115
2016-06-30,0.0169
2016-09-30,0.0147
2016-12-31,0.0224
2017-03-31,0.0322
2017-06-30,0.0692
2017-09-30,0.0687
2017-12-31,0.1107
2018-03-31,0.1437
2018-06-30,0.1321
2018-09-30,0.1433
2018-12-31,0.1157
2019-03-31,0.1129
2019-06-30,0.1343
2019-09-30,0.1285
2019-12-31,0.1557
2020-03-31,0.1766
2020-06-30,0.2175
2020-09-30,0.3361
2020-12-31,0.4072
2021-03-31,0.9086
2021-06-30,0.7386
2021-09-30,0.725
2021-12-31,1.4361
2022-03-31,1.6182
2022-06-30,2.2196
2022-09-30,3.7065
2022-12-31,5.9783
2023-03-31,5.4565
2023-06-30,7.1188
2023-09-30,6.1475
2023-12-31,4.555
2024-03-31,5.3475
2024-06-30,5.485
2024-09-30,4.3
2024-12-31,4.07
2025-03-31,3.74
2025-06-30,3.06
2025-09-30,3.75
2025-12-31,2.78
