QuarterEnd,SAYAS_Close_QuarterEnd
2016-03-31,1.5
2016-06-30,0.73
2016-09-30,0.78
2016-12-31,0.5633
2017-03-31,0.5
2017-06-30,0.57
2017-09-30,0.51
2017-12-31,0.5567
2018-03-31,0.5267
2018-06-30,0.4167
2018-09-30,0.34
2018-12-31,0.3133
2019-03-31,0.2833
2019-06-30,0.2833
2019-09-30,0.3967
2019-12-31,0.7467
2020-03-31,0.8867
2020-06-30,1.39
2020-09-30,2.0233
2020-12-31,2.8367
2021-03-31,9.68
2021-06-30,8.0
2021-09-30,7.44
2021-12-31,9.74
2022-03-31,10.0067
2022-06-30,11.2333
2022-09-30,16.08
2022-12-31,43.8
2023-03-31,26.5
2023-06-30,29.74
2023-09-30,115.0
2023-12-31,86.45
2024-03-31,86.0
2024-06-30,69.25
2024-09-30,49.98
2024-12-31,44.46
2025-03-31,30.44
2025-06-30,45.26
2025-09-30,52.65
2025-12-31,39.26
