QuarterEnd,SEKFK_Close_QuarterEnd
2016-03-31,0.3694
2016-06-30,0.3442
2016-09-30,0.4953
2016-12-31,0.5205
2017-03-31,0.7472
2017-06-30,1.0113
2017-09-30,0.8955
2017-12-31,1.145
2018-03-31,1.1316
2018-06-30,1.1138
2018-09-30,1.0306
2018-12-31,1.3332
2019-03-31,1.4656
2019-06-30,1.7587
2019-09-30,1.8863
2019-12-31,2.2598
2020-03-31,2.2314
2020-06-30,2.2976
2020-09-30,2.0423
2020-12-31,3.0257
2021-03-31,4.1839
2021-06-30,2.7846
2021-09-30,2.3118
2021-12-31,2.43
2022-03-31,2.3969
2022-06-30,2.4244
2022-09-30,3.4278
2022-12-31,5.7225
2023-03-31,4.1287
2023-06-30,5.3756
2023-09-30,8.3778
2023-12-31,7.0413
2024-03-31,8.1911
2024-06-30,9.99
2024-09-30,8.29
2024-12-31,7.74
2025-03-31,7.44
2025-06-30,7.09
2025-09-30,8.54
2025-12-31,8.0
