QuarterEnd,SEKUR_Close_QuarterEnd
2016-03-31,0.2373
2016-06-30,0.3231
2016-09-30,0.5995
2016-12-31,0.8388
2017-03-31,0.835
2017-06-30,0.5414
2017-09-30,0.5261
2017-12-31,0.8197
2018-03-31,1.1724
2018-06-30,0.4566
2018-09-30,0.3813
2018-12-31,0.2821
2019-03-31,0.2736
2019-06-30,0.2497
2019-09-30,0.2898
2019-12-31,0.5109
2020-03-31,0.4566
2020-06-30,0.6215
2020-09-30,1.1752
2020-12-31,1.3306
2021-03-31,2.9834
2021-06-30,1.9425
2021-09-30,1.9559
2021-12-31,1.5765
2022-03-31,1.5803
2022-06-30,1.282
2022-09-30,1.9368
2022-12-31,2.6212
2023-03-31,1.5546
2023-06-30,1.871
2023-09-30,2.6421
2023-12-31,2.0931
2024-03-31,4.7833
2024-06-30,3.3962
2024-09-30,3.4175
2024-12-31,4.0059
2025-03-31,4.2742
2025-06-30,5.518
2025-09-30,4.4937
2025-12-31,3.55
