QuarterEnd,SELEC_Close_QuarterEnd
2016-03-31,2.0996
2016-06-30,2.3145
2016-09-30,2.3903
2016-12-31,2.5839
2017-03-31,2.8111
2017-06-30,3.5313
2017-09-30,2.825
2017-12-31,3.1006
2018-03-31,3.204
2018-06-30,3.3997
2018-09-30,2.9394
2018-12-31,2.4701
2019-03-31,3.3909
2019-06-30,4.4342
2019-09-30,4.5978
2019-12-31,5.5427
2020-03-31,6.7876
2020-06-30,8.168
2020-09-30,7.9729
2020-12-31,12.6842
2021-03-31,9.7663
2021-06-30,7.753
2021-09-30,7.9324
2021-12-31,11.1431
2022-03-31,11.4547
2022-06-30,14.4039
2022-09-30,22.5632
2022-12-31,39.7655
2023-03-31,31.2036
2023-06-30,37.0745
2023-09-30,65.4837
2023-12-31,60.9335
2024-03-31,49.5085
2024-06-30,44.4164
2024-09-30,68.0157
2024-12-31,79.4925
2025-03-31,64.4883
2025-06-30,90.4
2025-09-30,79.95
2025-12-31,87.0
