QuarterEnd,SILVR_Close_QuarterEnd
2016-03-31,0.7142
2016-06-30,1.0872
2016-09-30,1.0316
2016-12-31,0.8888
2017-03-31,1.2935
2017-06-30,1.2617
2017-09-30,1.4363
2017-12-31,1.7379
2018-03-31,1.9045
2018-06-30,1.25
2018-09-30,1.33
2018-12-31,1.34
2019-03-31,1.14
2019-06-30,1.11
2019-09-30,1.39
2019-12-31,2.16
2020-03-31,1.67
2020-06-30,4.27
2020-09-30,4.2
2020-12-31,8.6
2021-03-31,6.16
2021-06-30,5.0
2021-09-30,5.08
2021-12-31,4.87
2022-03-31,7.25
2022-06-30,24.5
2022-09-30,27.16
2022-12-31,17.45
2023-03-31,13.78
2023-06-30,14.08
2023-09-30,16.42
2023-12-31,13.88
2024-03-31,18.9
2024-06-30,19.48
2024-09-30,20.96
2024-12-31,19.19
2025-03-31,16.47
2025-06-30,15.58
2025-09-30,3.0
2025-12-31,2.94
