QuarterEnd,SISE_Close_QuarterEnd
2016-03-31,2.4146
2016-06-30,2.4301
2016-09-30,2.3487
2016-12-31,2.8287
2017-03-31,3.0798
2017-06-30,3.4854
2017-09-30,3.4097
2017-12-31,3.9086
2018-03-31,4.2912
2018-06-30,3.6343
2018-09-30,5.0175
2018-12-31,4.8714
2019-03-31,5.0089
2019-06-30,4.6117
2019-09-30,4.1497
2019-12-31,4.6828
2020-03-31,3.6787
2020-06-30,5.0742
2020-09-30,6.6925
2020-12-31,6.6834
2021-03-31,6.6559
2021-06-30,7.1319
2021-09-30,7.6453
2021-12-31,12.4901
2022-03-31,14.1984
2022-06-30,20.4666
2022-09-30,24.1982
2022-12-31,40.8571
2023-03-31,40.2859
2023-06-30,43.023
2023-09-30,52.8836
2023-12-31,44.339
2024-03-31,44.7454
2024-06-30,49.2422
2024-09-30,42.2777
2024-12-31,40.7278
2025-03-31,37.8439
2025-06-30,36.04
2025-09-30,37.32
2025-12-31,38.38
