QuarterEnd,SKYLP_Close_QuarterEnd
2016-03-31,2.5858
2016-06-30,2.8248
2016-09-30,2.7599
2016-12-31,2.7112
2017-03-31,2.7599
2017-06-30,2.6517
2017-09-30,3.4905
2017-12-31,3.2469
2018-03-31,3.7556
2018-06-30,14.5571
2018-09-30,13.8428
2018-12-31,5.8445
2019-03-31,12.9229
2019-06-30,4.2914
2019-09-30,4.16
2019-12-31,3.32
2020-03-31,2.17
2020-06-30,4.01
2020-09-30,10.49
2020-12-31,13.46
2021-03-31,79.2
2021-06-30,60.0
2021-09-30,52.3
2021-12-31,32.2
2022-03-31,21.56
2022-06-30,17.89
2022-09-30,26.44
2022-12-31,39.76
2023-03-31,29.6
2023-06-30,33.58
2023-09-30,73.0
2023-12-31,95.45
2024-03-31,142.9
2024-06-30,109.0
2024-09-30,94.5
2024-12-31,135.8
2025-03-31,96.7
2025-06-30,81.55
2025-09-30,131.0
2025-12-31,249.9
