QuarterEnd,SNKRN_Close_QuarterEnd
2016-03-31,2.54
2016-06-30,1.94
2016-09-30,1.53
2016-12-31,1.89
2017-03-31,1.97
2017-06-30,1.85
2017-09-30,2.41
2017-12-31,1.86
2018-03-31,1.62
2018-06-30,1.29
2018-09-30,1.67
2018-12-31,1.0
2019-03-31,3.09
2019-06-30,6.39
2019-09-30,3.28
2019-12-31,2.73
2020-03-31,2.21
2020-06-30,3.55
2020-09-30,3.68
2020-12-31,26.26
2021-03-31,36.0
2021-06-30,26.9
2021-09-30,26.98
2021-12-31,22.48
2022-03-31,29.98
2022-06-30,19.44
2022-09-30,15.7
2022-12-31,25.84
2023-03-31,23.56
2023-06-30,22.46
2023-09-30,26.64
2023-12-31,25.98
2024-03-31,35.48
2024-06-30,43.0
2024-09-30,51.25
2024-12-31,52.0
2025-03-31,100.1
2025-06-30,255.0
2025-09-30,230.0
2025-12-31,282.0
