QuarterEnd,SNPAM_Close_QuarterEnd
2016-03-31,0.2716
2016-06-30,0.2471
2016-09-30,0.2389
2016-12-31,0.4186
2017-03-31,0.6208
2017-06-30,0.7781
2017-09-30,0.7291
2017-12-31,0.8188
2018-03-31,0.9015
2018-06-30,0.7919
2018-09-30,0.7464
2018-12-31,0.6451
2019-03-31,0.6141
2019-06-30,0.7299
2019-09-30,0.763
2019-12-31,1.0173
2020-03-31,0.9346
2020-06-30,1.6066
2020-09-30,2.996
2020-12-31,4.9623
2021-03-31,4.4868
2021-06-30,2.7314
2021-09-30,2.8099
2021-12-31,2.892
2022-03-31,2.818
2022-06-30,2.475
2022-09-30,4.7617
2022-12-31,6.0531
2023-03-31,3.9681
2023-06-30,5.0341
2023-09-30,19.2689
2023-12-31,43.7165
2024-03-31,29.6936
2024-06-30,27.575
2024-09-30,23.4892
2024-12-31,21.068
2025-03-31,17.8229
2025-06-30,19.6556
2025-09-30,22.32
2025-12-31,24.34
