QuarterEnd,SODSN_Close_QuarterEnd
2016-03-31,0.8118
2016-06-30,0.8101
2016-09-30,0.7342
2016-12-31,0.6785
2017-03-31,1.2102
2017-06-30,1.1539
2017-09-30,1.0582
2017-12-31,1.0695
2018-03-31,1.2524
2018-06-30,1.5688
2018-09-30,1.7508
2018-12-31,1.9767
2019-03-31,2.3218
2019-06-30,2.4831
2019-09-30,2.7325
2019-12-31,3.4806
2020-03-31,5.2049
2020-06-30,10.8775
2020-09-30,21.393
2020-12-31,24.5061
2021-03-31,36.1972
2021-06-30,19.4292
2021-09-30,21.8672
2021-12-31,26.9664
2022-03-31,24.1004
2022-06-30,20.2789
2022-09-30,21.7288
2022-12-31,37.4261
2023-03-31,26.0978
2023-06-30,31.3
2023-09-30,71.95
2023-12-31,72.6
2024-03-31,214.4
2024-06-30,145.0
2024-09-30,117.2
2024-12-31,106.8
2025-03-31,89.4
2025-06-30,96.95
2025-09-30,110.0
2025-12-31,99.05
