QuarterEnd,SOKM_Close_QuarterEnd
2018-06-30,8.1196
2018-09-30,8.3069
2018-12-31,10.0676
2019-03-31,8.4662
2019-06-30,8.9531
2019-09-30,10.3017
2019-12-31,10.077
2020-03-31,8.7284
2020-06-30,12.5494
2020-09-30,11.2663
2020-12-31,11.8189
2021-03-31,10.9948
2021-06-30,10.9948
2021-09-30,11.1747
2021-12-31,12.0365
2022-03-31,11.8281
2022-06-30,10.8527
2022-09-30,19.5842
2022-12-31,26.4784
2023-03-31,27.4443
2023-06-30,31.5354
2023-09-30,55.6546
2023-12-31,51.5904
2024-03-31,56.4196
2024-06-30,60.2924
2024-09-30,47.3972
2024-12-31,41.2
2025-03-31,36.62
2025-06-30,34.8
2025-09-30,36.4
2025-12-31,51.05
