QuarterEnd,SONME_Close_QuarterEnd
2016-03-31,1.2314
2016-06-30,1.0701
2016-09-30,0.9235
2016-12-31,1.8104
2017-03-31,2.3161
2017-06-30,3.3496
2017-09-30,2.5947
2017-12-31,3.0418
2018-03-31,3.1517
2018-06-30,2.6606
2018-09-30,2.558
2018-12-31,2.3445
2019-03-31,2.367
2019-06-30,2.8405
2019-09-30,3.1335
2019-12-31,3.667
2020-03-31,3.5092
2020-06-30,5.8162
2020-09-30,11.3994
2020-12-31,52.7513
2021-03-31,43.9218
2021-06-30,28.1491
2021-09-30,28.4045
2021-12-31,36.2017
2022-03-31,35.9041
2022-06-30,30.6078
2022-09-30,40.526
2022-12-31,42.5494
2023-03-31,27.6125
2023-06-30,38.7804
2023-09-30,53.252
2023-12-31,61.8757
2024-03-31,79.1352
2024-06-30,91.2716
2024-09-30,76.5985
2024-12-31,88.7349
2025-03-31,82.2191
2025-06-30,129.6206
2025-09-30,130.5
2025-12-31,173.8
