QuarterEnd,SRVGY_Close_QuarterEnd
2016-03-31,0.0381
2016-06-30,0.0386
2016-09-30,0.0397
2016-12-31,0.0453
2017-03-31,0.0516
2017-06-30,0.0551
2017-09-30,0.0507
2017-12-31,0.0483
2018-03-31,0.0622
2018-06-30,0.0413
2018-09-30,0.0421
2018-12-31,0.0746
2019-03-31,0.0705
2019-06-30,0.0713
2019-09-30,0.0842
2019-12-31,0.136
2020-03-31,0.1696
2020-06-30,0.2672
2020-09-30,0.3917
2020-12-31,1.2544
2021-03-31,1.6
2021-06-30,1.2728
2021-09-30,1.2192
2021-12-31,1.4448
2022-03-31,1.3248
2022-06-30,1.3712
2022-09-30,1.76
2022-12-31,2.5632
2023-03-31,2.568
2023-06-30,3.4544
2023-09-30,4.7744
2023-12-31,4.94
2024-03-31,4.48
2024-06-30,4.784
2024-09-30,5.748
2024-12-31,4.528
2025-03-31,2.9
2025-06-30,2.71
2025-09-30,3.23
2025-12-31,3.17
