QuarterEnd,SUMAS_Close_QuarterEnd
2018-03-31,4.0719
2018-06-30,5.25
2018-09-30,6.826
2018-12-31,6.2054
2019-03-31,6.7373
2019-06-30,6.1168
2019-09-30,6.6914
2019-12-31,9.1752
2020-03-31,7.9148
2020-06-30,11.4087
2020-09-30,43.6838
2020-12-31,47.9194
2021-03-31,70.2194
2021-06-30,57.0358
2021-09-30,83.0431
2021-12-31,86.6598
2022-03-31,68.6233
2022-06-30,59.865
2022-09-30,75.0964
2022-12-31,110.4755
2023-03-31,85.9897
2023-06-30,89.3379
2023-09-30,265.83
2023-12-31,193.5656
2024-03-31,575.7334
2024-06-30,419.1439
2024-09-30,302.5082
2024-12-31,327.5725
2025-03-31,335.5136
2025-06-30,282.0
2025-09-30,306.0
2025-12-31,280.75
