QuarterEnd,TATGD_Close_QuarterEnd
2016-03-31,2.8761
2016-06-30,2.7081
2016-09-30,2.9111
2016-12-31,2.8368
2017-03-31,3.7527
2017-06-30,3.6257
2017-09-30,2.7053
2017-12-31,2.7002
2018-03-31,3.0077
2018-06-30,2.2978
2018-09-30,2.3557
2018-12-31,2.0086
2019-03-31,2.2557
2019-06-30,2.2137
2019-09-30,2.7553
2019-12-31,3.3074
2020-03-31,3.4467
2020-06-30,5.4364
2020-09-30,6.2519
2020-12-31,6.4476
2021-03-31,5.2701
2021-06-30,4.5339
2021-09-30,5.0693
2021-12-31,6.6698
2022-03-31,6.8631
2022-06-30,8.438
2022-09-30,14.3699
2022-12-31,20.6926
2023-03-31,12.1282
2023-06-30,16.0483
2023-09-30,23.5781
2023-12-31,19.3591
2024-03-31,14.7952
2024-06-30,14.7608
2024-09-30,14.6458
2024-12-31,13.36
2025-03-31,12.0
2025-06-30,11.19
2025-09-30,13.2
2025-12-31,11.75
