QuarterEnd,TBORG_Close_QuarterEnd
2016-03-31,4.5101
2016-06-30,3.6054
2016-09-30,4.289
2016-12-31,5.12
2017-03-31,5.9242
2017-06-30,6.6948
2017-09-30,7.2598
2017-12-31,6.8018
2018-03-31,8.5326
2018-06-30,7.2463
2018-09-30,6.5679
2018-12-31,6.4719
2019-03-31,7.0278
2019-06-30,6.3298
2019-09-30,6.9008
2019-12-31,9.7068
2020-03-31,10.547
2020-06-30,12.4068
2020-09-30,14.6337
2020-12-31,14.7397
2021-03-31,15.0742
2021-06-30,13.9485
2021-09-30,13.6749
2021-12-31,15.9692
2022-03-31,17.3242
2022-06-30,19.3526
2022-09-30,21.5688
2022-12-31,35.4871
2023-03-31,33.1459
2023-06-30,28.7584
2023-09-30,56.5489
2023-12-31,67.5176
2024-03-31,80.6525
2024-06-30,91.0681
2024-09-30,120.5719
2024-12-31,138.2189
2025-03-31,159.2999
2025-06-30,163.0201
2025-09-30,170.2
2025-12-31,169.0
