QuarterEnd,TCELL_Close_QuarterEnd
2016-03-31,7.6532
2016-06-30,6.8266
2016-09-30,6.2711
2016-12-31,6.297
2017-03-31,7.7307
2017-06-30,7.7723
2017-09-30,8.8284
2017-12-31,11.0947
2018-03-31,10.8582
2018-06-30,8.9442
2018-09-30,8.7049
2018-12-31,9.3994
2019-03-31,9.3376
2019-06-30,9.886
2019-09-30,10.0482
2019-12-31,11.0532
2020-03-31,9.8678
2020-06-30,13.1678
2020-09-30,12.1746
2020-12-31,13.2053
2021-03-31,12.2785
2021-06-30,13.5473
2021-09-30,13.2337
2021-12-31,16.3427
2022-03-31,19.9548
2022-06-30,14.3419
2022-09-30,18.1297
2022-12-31,34.6495
2023-03-31,29.2527
2023-06-30,33.2043
2023-09-30,48.7545
2023-12-31,52.3015
2024-03-31,63.1161
2024-06-30,93.7884
2024-09-30,88.7541
2024-12-31,89.2204
2025-03-31,92.1046
2025-06-30,94.3779
2025-09-30,96.0466
2025-12-31,93.1
