QuarterEnd,TDGYO_Close_QuarterEnd
2018-03-31,0.613
2018-06-30,0.5783
2018-09-30,0.6696
2018-12-31,0.5522
2019-03-31,0.5826
2019-06-30,0.4957
2019-09-30,0.7087
2019-12-31,0.9565
2020-03-31,0.9087
2020-06-30,1.6783
2020-09-30,2.5087
2020-12-31,5.4652
2021-03-31,3.0435
2021-06-30,3.0435
2021-09-30,2.8304
2021-12-31,2.7913
2022-03-31,3.0087
2022-06-30,3.213
2022-09-30,3.913
2022-12-31,6.2217
2023-03-31,4.86
2023-06-30,4.92
2023-09-30,10.54
2023-12-31,7.68
2024-03-31,10.85
2024-06-30,10.99
2024-09-30,10.3
2024-12-31,11.64
2025-03-31,14.72
2025-06-30,16.07
2025-09-30,20.2
2025-12-31,37.98
