QuarterEnd,TEHOL_Close_QuarterEnd
2016-03-31,0.0248
2016-06-30,0.0225
2016-09-30,0.0214
2016-12-31,0.0231
2017-03-31,0.0514
2017-06-30,0.0566
2017-09-30,0.0612
2017-12-31,0.0508
2018-03-31,0.052
2018-06-30,0.0364
2018-09-30,0.0306
2018-12-31,0.0445
2019-03-31,0.0295
2019-06-30,0.0295
2019-09-30,0.0428
2019-12-31,0.0543
2020-03-31,0.0387
2020-06-30,0.0774
2020-09-30,0.0971
2020-12-31,0.1271
2021-03-31,0.1386
2021-06-30,0.0907
2021-09-30,0.1045
2021-12-31,0.0863
2022-03-31,0.0929
2022-06-30,0.1321
2022-09-30,0.1466
2022-12-31,0.3991
2023-03-31,0.5
2023-06-30,0.4898
2023-09-30,0.5638
2023-12-31,1.2002
2024-03-31,1.5964
2024-06-30,2.0506
2024-09-30,0.9244
2024-12-31,2.0317
2025-03-31,8.5079
2025-06-30,8.6298
2025-09-30,20.8254
2025-12-31,31.5
