QuarterEnd,TEKTU_Close_QuarterEnd
2016-03-31,0.7271
2016-06-30,0.6336
2016-09-30,0.644
2016-12-31,0.6336
2017-03-31,0.8206
2017-06-30,0.8725
2017-09-30,0.9348
2017-12-31,0.7998
2018-03-31,1.0075
2018-06-30,0.81
2018-09-30,0.8
2018-12-31,0.85
2019-03-31,0.71
2019-06-30,0.73
2019-09-30,0.81
2019-12-31,1.26
2020-03-31,0.84
2020-06-30,1.66
2020-09-30,1.62
2020-12-31,2.02
2021-03-31,1.77
2021-06-30,1.54
2021-09-30,1.22
2021-12-31,1.26
2022-03-31,1.59
2022-06-30,1.61
2022-09-30,2.11
2022-12-31,3.51
2023-03-31,2.93
2023-06-30,2.8
2023-09-30,4.2
2023-12-31,2.83
2024-03-31,3.3
2024-06-30,4.77
2024-09-30,4.77
2024-12-31,4.5
2025-03-31,4.1
2025-06-30,9.04
2025-09-30,22.4
2025-12-31,9.2
