QuarterEnd,THYAO_Close_QuarterEnd
2016-03-31,7.6099
2016-06-30,5.5878
2016-09-30,5.0212
2016-12-31,4.8942
2017-03-31,5.3436
2017-06-30,7.8639
2017-09-30,8.5477
2017-12-31,15.3273
2018-03-31,18.6683
2018-06-30,13.227
2018-09-30,18.6487
2018-12-31,15.7376
2019-03-31,12.6311
2019-06-30,12.592
2019-09-30,12.0938
2019-12-31,14.1257
2020-03-31,8.8603
2020-06-30,12.2306
2020-09-30,10.2573
2020-12-31,12.6116
2021-03-31,12.4553
2021-06-30,13.0609
2021-09-30,13.6275
2021-12-31,19.5572
2022-03-31,31.5143
2022-06-30,45.7182
2022-09-30,68.968
2022-12-31,137.643
2023-03-31,115.7608
2023-06-30,189.2225
2023-09-30,236.8944
2023-12-31,223.3157
2024-03-31,290.8672
2024-06-30,301.613
2024-09-30,278.412
2024-12-31,274.5045
2025-03-31,303.811
2025-06-30,280.6087
2025-09-30,315.0
2025-12-31,268.5
