QuarterEnd,TLMAN_Close_QuarterEnd
2018-03-31,9.4461
2018-06-30,7.9533
2018-09-30,7.2184
2018-12-31,6.105
2019-03-31,6.5707
2019-06-30,6.8783
2019-09-30,7.7481
2019-12-31,9.461
2020-03-31,7.5262
2020-06-30,12.9934
2020-09-30,32.8918
2020-12-31,29.0141
2021-03-31,27.0991
2021-06-30,27.5869
2021-09-30,24.2627
2021-12-31,31.1695
2022-03-31,29.4162
2022-06-30,26.9032
2022-09-30,39.9749
2022-12-31,63.3
2023-03-31,50.0
2023-06-30,57.4
2023-09-30,88.7
2023-12-31,84.75
2024-03-31,127.2
2024-06-30,106.6
2024-09-30,94.8
2024-12-31,94.85
2025-03-31,89.95
2025-06-30,77.85
2025-09-30,100.0
2025-12-31,96.55
