QuarterEnd,TMSN_Close_QuarterEnd
2016-03-31,8.7
2016-06-30,7.4
2016-09-30,7.53
2016-12-31,7.41
2017-03-31,6.94
2017-06-30,7.7
2017-09-30,6.27
2017-12-31,7.59
2018-03-31,8.23
2018-06-30,5.71
2018-09-30,5.11
2018-12-31,4.5
2019-03-31,4.35
2019-06-30,3.87
2019-09-30,4.8
2019-12-31,6.41
2020-03-31,4.34
2020-06-30,7.28
2020-09-30,8.72
2020-12-31,14.07
2021-03-31,24.5
2021-06-30,17.63
2021-09-30,15.71
2021-12-31,19.05
2022-03-31,16.65
2022-06-30,29.9
2022-09-30,65.2
2022-12-31,66.0
2023-03-31,46.88
2023-06-30,62.7
2023-09-30,114.0
2023-12-31,83.85
2024-03-31,156.3
2024-06-30,128.7
2024-09-30,127.0
2024-12-31,118.4
2025-03-31,93.6
2025-06-30,106.5
2025-09-30,113.4
2025-12-31,100.4
