QuarterEnd,TOASO_Close_QuarterEnd
2016-03-31,11.3514
2016-06-30,12.1416
2016-09-30,11.2479
2016-12-31,12.6552
2017-03-31,13.9803
2017-06-30,15.2349
2017-09-30,16.2787
2017-12-31,17.4069
2018-03-31,15.1112
2018-06-30,13.4458
2018-09-30,11.9481
2018-12-31,9.4445
2019-03-31,10.4178
2019-06-30,11.7513
2019-09-30,12.348
2019-12-31,16.3544
2020-03-31,11.5452
2020-06-30,18.5986
2020-09-30,17.2651
2020-12-31,23.8062
2021-03-31,25.4919
2021-06-30,22.7502
2021-09-30,40.0477
2021-12-31,58.3003
2022-03-31,65.138
2022-06-30,50.2027
2022-09-30,76.5591
2022-12-31,138.6431
2023-03-31,161.5094
2023-06-30,218.4313
2023-09-30,255.6295
2023-12-31,181.6656
2024-03-31,239.6256
2024-06-30,317.194
2024-09-30,201.045
2024-12-31,191.3426
2025-03-31,167.2732
2025-06-30,196.2
2025-09-30,259.25
2025-12-31,247.0
