QuarterEnd,TRALT_Close_QuarterEnd
2016-03-31,0.847
2016-06-30,0.5967
2016-09-30,0.7936
2016-12-31,0.7659
2017-03-31,0.9338
2017-06-30,0.96
2017-09-30,1.4625
2017-12-31,1.7907
2018-03-31,1.9782
2018-06-30,1.9922
2018-09-30,2.4071
2018-12-31,2.4047
2019-03-31,1.9669
2019-06-30,2.4774
2019-09-30,3.0657
2019-12-31,3.4711
2020-03-31,2.8758
2020-06-30,3.9071
2020-09-30,3.6516
2020-12-31,4.5329
2021-03-31,5.5782
2021-06-30,5.4891
2021-09-30,4.4766
2021-12-31,5.4235
2022-03-31,6.7173
2022-06-30,7.9689
2022-09-30,8.5722
2022-12-31,26.5097
2023-03-31,21.2828
2023-06-30,24.4358
2023-09-30,28.78
2023-12-31,19.53
2024-03-31,23.3
2024-06-30,21.32
2024-09-30,23.22
2024-12-31,22.58
2025-03-31,28.96
2025-06-30,24.0
2025-09-30,25.22
2025-12-31,40.98
