QuarterEnd,TRENJ_Close_QuarterEnd
2016-03-31,1.24
2016-06-30,0.96
2016-09-30,1.64
2016-12-31,2.1
2017-03-31,1.91
2017-06-30,2.43
2017-09-30,6.22
2017-12-31,5.37
2018-03-31,5.25
2018-06-30,5.81
2018-09-30,5.23
2018-12-31,5.37
2019-03-31,4.48
2019-06-30,5.71
2019-09-30,6.81
2019-12-31,7.72
2020-03-31,8.01
2020-06-30,13.7
2020-09-30,11.62
2020-12-31,13.08
2021-03-31,11.78
2021-06-30,11.89
2021-09-30,11.65
2021-12-31,13.63
2022-03-31,16.81
2022-06-30,16.81
2022-09-30,18.35
2022-12-31,34.9
2023-03-31,26.56
2023-06-30,29.54
2023-09-30,46.08
2023-12-31,31.92
2024-03-31,41.42
2024-06-30,38.62
2024-09-30,41.98
2024-12-31,52.4
2025-03-31,63.3
2025-06-30,59.95
2025-09-30,72.1
2025-12-31,93.05
