QuarterEnd,TRHOL_Close_QuarterEnd
2016-03-31,0.4824
2016-06-30,0.5148
2016-09-30,0.5616
2016-12-31,0.486
2017-03-31,0.4932
2017-06-30,0.5148
2017-09-30,0.522
2017-12-31,0.5148
2018-03-31,0.522
2018-06-30,0.4644
2018-09-30,0.4428
2018-12-31,0.3636
2019-03-31,0.6192
2019-06-30,0.5472
2019-09-30,0.5724
2019-12-31,0.8136
2020-03-31,0.8964
2020-06-30,2.7864
2020-09-30,3.24
2020-12-31,4.644
2021-03-31,5.1408
2021-06-30,5.418
2021-09-30,4.4892
2021-12-31,3.888
2022-03-31,5.0904
2022-06-30,10.0368
2022-09-30,8.136
2022-12-31,11.69
2023-03-31,12.7
2023-06-30,12.02
2023-09-30,13.08
2023-12-31,12.8
2024-03-31,17.63
2024-06-30,16.5
2024-09-30,17.7
2024-12-31,15.74
2025-03-31,55.25
2025-06-30,93.95
2025-09-30,215.0
2025-12-31,583.5
