QuarterEnd,TRMET_Close_QuarterEnd
2016-03-31,1.29
2016-06-30,0.97
2016-09-30,1.73
2016-12-31,2.14
2017-03-31,1.95
2017-06-30,2.97
2017-09-30,7.06
2017-12-31,6.44
2018-03-31,6.28
2018-06-30,6.31
2018-09-30,6.47
2018-12-31,7.22
2019-03-31,5.58
2019-06-30,7.08
2019-09-30,9.23
2019-12-31,10.03
2020-03-31,9.08
2020-06-30,13.4
2020-09-30,12.64
2020-12-31,15.49
2021-03-31,13.95
2021-06-30,14.14
2021-09-30,14.57
2021-12-31,18.02
2022-03-31,25.86
2022-06-30,25.82
2022-09-30,26.48
2022-12-31,53.6
2023-03-31,36.64
2023-06-30,51.7
2023-09-30,66.0
2023-12-31,42.42
2024-03-31,49.98
2024-06-30,55.1
2024-09-30,68.65
2024-12-31,74.25
2025-03-31,86.75
2025-06-30,84.1
2025-09-30,90.0
2025-12-31,104.4
