QuarterEnd,TSGYO_Close_QuarterEnd
2016-03-31,0.448
2016-06-30,0.5239
2016-09-30,0.4935
2016-12-31,0.5011
2017-03-31,0.5011
2017-06-30,0.4783
2017-09-30,0.6226
2017-12-31,0.5543
2018-03-31,0.577
2018-06-30,0.4707
2018-09-30,0.4859
2018-12-31,0.4905
2019-03-31,0.4367
2019-06-30,0.4307
2019-09-30,0.5444
2019-12-31,0.8016
2020-03-31,0.8973
2020-06-30,2.0578
2020-09-30,2.0733
2020-12-31,4.8264
2021-03-31,5.1621
2021-06-30,2.4678
2021-09-30,2.83
2021-12-31,2.87
2022-03-31,5.09
2022-06-30,4.19
2022-09-30,4.08
2022-12-31,5.16
2023-03-31,4.29
2023-06-30,5.71
2023-09-30,6.63
2023-12-31,6.01
2024-03-31,11.0
2024-06-30,12.14
2024-09-30,16.29
2024-12-31,6.95
2025-03-31,7.4
2025-06-30,6.52
2025-09-30,7.81
2025-12-31,6.81
