QuarterEnd,TSKB_Close_QuarterEnd
2016-03-31,0.9593
2016-06-30,0.9058
2016-09-30,0.9058
2016-12-31,0.9603
2017-03-31,0.9665
2017-06-30,1.1644
2017-09-30,1.1398
2017-12-31,1.1808
2018-03-31,1.2951
2018-06-30,0.9517
2018-09-30,0.8438
2018-12-31,0.7947
2019-03-31,0.7457
2019-06-30,0.7261
2019-09-30,0.9321
2019-12-31,1.1872
2020-03-31,0.9223
2020-06-30,1.2657
2020-09-30,1.0891
2020-12-31,1.7465
2021-03-31,1.35
2021-06-30,1.28
2021-09-30,1.2
2021-12-31,1.44
2022-03-31,1.45
2022-06-30,2.01
2022-09-30,2.45
2022-12-31,4.37
2023-03-31,4.09
2023-06-30,4.48
2023-09-30,8.12
2023-12-31,6.55
2024-03-31,8.49
2024-06-30,11.72
2024-09-30,11.74
2024-12-31,12.22
2025-03-31,11.0
2025-06-30,12.48
2025-09-30,13.36
2025-12-31,12.35
