QuarterEnd,TTRAK_Close_QuarterEnd
2016-03-31,23.7122
2016-06-30,25.429
2016-09-30,24.657
2016-12-31,22.7045
2017-03-31,24.7479
2017-06-30,25.353
2017-09-30,24.9355
2017-12-31,24.4057
2018-03-31,25.0159
2018-06-30,18.0045
2018-09-30,16.6196
2018-12-31,12.0838
2019-03-31,10.6296
2019-06-30,10.962
2019-09-30,14.9714
2019-12-31,19.1817
2020-03-31,14.4142
2020-06-30,28.5493
2020-09-30,36.2531
2020-12-31,66.2343
2021-03-31,80.3582
2021-06-30,65.7794
2021-09-30,63.058
2021-12-31,87.0838
2022-03-31,98.5665
2022-06-30,92.3345
2022-09-30,118.4069
2022-12-31,279.8016
2023-03-31,226.8678
2023-06-30,344.9555
2023-09-30,748.1677
2023-12-31,604.6486
2024-03-31,839.0349
2024-06-30,846.2529
2024-09-30,640.3586
2024-12-31,705.4799
2025-03-31,768.0324
2025-06-30,581.5
2025-09-30,570.5
2025-12-31,519.5
