QuarterEnd,TUCLK_Close_QuarterEnd
2016-03-31,0.2561
2016-06-30,0.2755
2016-09-30,0.3069
2016-12-31,0.3679
2017-03-31,0.4289
2017-06-30,0.379
2017-09-30,0.2958
2017-12-31,0.294
2018-03-31,0.3041
2018-06-30,0.2413
2018-09-30,0.2135
2018-12-31,0.1969
2019-03-31,0.208
2019-06-30,0.1867
2019-09-30,0.2616
2019-12-31,0.3651
2020-03-31,0.3688
2020-06-30,0.4853
2020-09-30,0.7349
2020-12-31,0.7469
2021-03-31,0.7155
2021-06-30,1.0963
2021-09-30,1.2923
2021-12-31,1.3552
2022-03-31,1.2276
2022-06-30,1.3182
2022-09-30,1.4421
2022-12-31,3.3501
2023-03-31,2.9008
2023-06-30,3.0154
2023-09-30,7.0209
2023-12-31,5.8007
2024-03-31,6.5448
2024-06-30,6.9053
2024-09-30,7.1993
2024-12-31,5.674
2025-03-31,4.3651
2025-06-30,5.4244
2025-09-30,5.43
2025-12-31,4.8
