QuarterEnd,TUPRS_Close_QuarterEnd
2016-03-31,5.4125
2016-06-30,4.7393
2016-09-30,4.2226
2016-12-31,5.2597
2017-03-31,6.7057
2017-06-30,8.0869
2017-09-30,9.717
2017-12-31,9.709
2018-03-31,9.7583
2018-06-30,9.7223
2018-09-30,12.0809
2018-12-31,10.5055
2019-03-31,12.566
2019-06-30,11.5792
2019-09-30,14.4489
2019-12-31,12.7674
2020-03-31,7.602
2020-06-30,9.0117
2020-09-30,8.0148
2020-12-31,10.8744
2021-03-31,9.062
2021-06-30,9.5403
2021-09-30,11.539
2021-12-31,15.5464
2022-03-31,21.5877
2022-06-30,26.6322
2022-09-30,29.1595
2022-12-31,53.3551
2023-03-31,57.4587
2023-06-30,60.1685
2023-09-30,126.4426
2023-12-31,113.7188
2024-03-31,140.7568
2024-06-30,139.8701
2024-09-30,141.0708
2024-12-31,128.9816
2025-03-31,132.7016
2025-06-30,134.6248
2025-09-30,186.5
2025-12-31,184.4
