QuarterEnd,TURSG_Close_QuarterEnd
2016-03-31,0.1212
2016-06-30,0.1122
2016-09-30,0.104
2016-12-31,0.0944
2017-03-31,0.1061
2017-06-30,0.143
2017-09-30,0.1385
2017-12-31,0.1483
2018-03-31,0.1636
2018-06-30,0.1474
2018-09-30,0.1367
2018-12-31,0.1349
2019-03-31,0.1304
2019-06-30,0.0926
2019-09-30,0.1645
2019-12-31,0.2097
2020-03-31,0.2087
2020-06-30,0.4078
2020-09-30,0.5463
2020-12-31,0.6348
2021-03-31,0.5896
2021-06-30,0.485
2021-09-30,0.5035
2021-12-31,0.5179
2022-03-31,0.5528
2022-06-30,0.5536
2022-09-30,0.6906
2022-12-31,1.3945
2023-03-31,1.1093
2023-06-30,1.2152
2023-09-30,4.2985
2023-12-31,4.5403
2024-03-31,5.709
2024-06-30,8.7594
2024-09-30,6.0773
2024-12-31,8.9764
2025-03-31,8.854
2025-06-30,8.1782
2025-09-30,9.28
2025-12-31,11.81
