QuarterEnd,UFUK_Close_QuarterEnd
2016-03-31,1.42
2016-06-30,1.4
2016-09-30,1.3
2016-12-31,1.14
2017-03-31,1.2
2017-06-30,1.28
2017-09-30,1.49
2017-12-31,3.07
2018-03-31,2.38
2018-06-30,1.88
2018-09-30,1.43
2018-12-31,1.14
2019-03-31,1.12
2019-06-30,1.26
2019-09-30,1.98
2019-12-31,2.58
2020-03-31,2.81
2020-06-30,4.93
2020-09-30,13.93
2020-12-31,13.4
2021-03-31,19.54
2021-06-30,14.79
2021-09-30,18.6
2021-12-31,18.27
2022-03-31,17.39
2022-06-30,64.7
2022-09-30,57.3
2022-12-31,76.2
2023-03-31,51.8
2023-06-30,70.95
2023-09-30,74.15
2023-12-31,89.3
2024-03-31,266.0
2024-06-30,460.0
2024-09-30,500.0
2024-12-31,580.0
2025-03-31,594.0
2025-06-30,1033.0
2025-09-30,1040.0
2025-12-31,1768.0
