QuarterEnd,ULAS_Close_QuarterEnd
2016-03-31,0.8088
2016-06-30,0.6549
2016-09-30,0.5802
2016-12-31,0.5143
2017-03-31,0.6681
2017-06-30,0.6681
2017-09-30,0.7253
2017-12-31,0.7516
2018-03-31,0.7648
2018-06-30,0.6374
2018-09-30,0.4967
2018-12-31,0.5011
2019-03-31,0.611
2019-06-30,0.5934
2019-09-30,0.7429
2019-12-31,0.9319
2020-03-31,0.6374
2020-06-30,2.589
2020-09-30,2.92
2020-12-31,4.24
2021-03-31,5.6
2021-06-30,4.12
2021-09-30,3.8
2021-12-31,3.1
2022-03-31,3.09
2022-06-30,2.83
2022-09-30,5.05
2022-12-31,11.6
2023-03-31,12.0
2023-06-30,14.35
2023-09-30,18.82
2023-12-31,15.9
2024-03-31,26.1
2024-06-30,20.98
2024-09-30,28.56
2024-12-31,32.0
2025-03-31,23.16
2025-06-30,22.4
2025-09-30,28.74
2025-12-31,28.18
