QuarterEnd,ULKER_Close_QuarterEnd
2016-03-31,17.9049
2016-06-30,18.232
2016-09-30,18.5619
2016-12-31,14.0299
2017-03-31,16.0268
2017-06-30,19.4791
2017-09-30,16.9784
2017-12-31,17.2592
2018-03-31,19.4791
2018-06-30,15.8202
2018-09-30,14.855
2018-12-31,13.0944
2019-03-31,15.2099
2019-06-30,17.3521
2019-09-30,17.5396
2019-12-31,19.9585
2020-03-31,17.5396
2020-06-30,21.6902
2020-09-30,20.4048
2020-12-31,20.6547
2021-03-31,18.7981
2021-06-30,19.1946
2021-09-30,17.6953
2021-12-31,16.1312
2022-03-31,14.1877
2022-06-30,13.3177
2022-09-30,18.954
2022-12-31,40.4623
2023-03-31,28.8381
2023-06-30,31.9478
2023-09-30,86.9032
2023-12-31,75.751
2024-03-31,96.6208
2024-06-30,157.4252
2024-09-30,129.5681
2024-12-31,108.9297
2025-03-31,111.6136
2025-06-30,105.6
2025-09-30,104.5
2025-12-31,108.0
