QuarterEnd,ULUSE_Close_QuarterEnd
2016-03-31,3.1848
2016-06-30,3.4987
2016-09-30,3.3187
2016-12-31,3.4497
2017-03-31,5.0967
2017-06-30,5.2335
2017-09-30,8.0952
2017-12-31,9.0616
2018-03-31,8.9111
2018-06-30,8.5177
2018-09-30,11.55
2018-12-31,15.96
2019-03-31,18.02
2019-06-30,20.8
2019-09-30,25.78
2019-12-31,26.6
2020-03-31,28.32
2020-06-30,35.92
2020-09-30,50.3
2020-12-31,51.35
2021-03-31,57.05
2021-06-30,55.85
2021-09-30,50.7
2021-12-31,60.0
2022-03-31,113.3
2022-06-30,214.1
2022-09-30,130.5
2022-12-31,235.0
2023-03-31,128.9
2023-06-30,130.9
2023-09-30,164.6
2023-12-31,131.3
2024-03-31,166.6
2024-06-30,177.6
2024-09-30,158.1
2024-12-31,166.2
2025-03-31,139.9
2025-06-30,168.7
2025-09-30,193.5
2025-12-31,162.1
